,dn0_lo10,dn0_med,dn0_up90,rn0_lo10,rn0_med,rn0_up90,gamman_lo10,gamman_med,gamman_up90,bioassay_mortality,resistance
18,0.424430467,0.483206634,0.530710166,0.467108617,0.511894192,0.565627227,2.424708619,2.501245606,2.565707987,0.83,0.17
19,0.423459965,0.482275228,0.529791031,0.467984035,0.512761817,0.566494541,2.410872579,2.49186658,2.560698454,0.82,0.18
20,0.422446486,0.481396097,0.52888719,0.468844581,0.513580341,0.567399457,2.397143706,2.482600625,2.555605765,0.81,0.19
21,0.421417273,0.480516877,0.528122571,0.469572338,0.514398537,0.568317571,2.383333416,2.473158831,2.550427647,0.8,0.2
22,0.420030582,0.479353042,0.527174244,0.470474641,0.515480964,0.569553335,2.369418831,2.463253614,2.54553237,0.79,0.21
23,0.419167452,0.478320272,0.526431881,0.471180737,0.516440891,0.570321718,2.354394084,2.453427158,2.540604038,0.78,0.22
24,0.418513405,0.477293204,0.525545351,0.47202369,0.517394952,0.570903563,2.338812778,2.443508939,2.535130087,0.77,0.23
25,0.417472468,0.476841646,0.524997779,0.472544196,0.517814231,0.571828871,2.323331483,2.433469616,2.52957785,0.76,0.24
26,0.416414792,0.476045847,0.524599634,0.472922587,0.518552873,0.57276815,2.30897255,2.423533762,2.524358504,0.75,0.25
27,0.415339932,0.475000671,0.524346177,0.473163438,0.519522457,0.573721744,2.293105573,2.413503096,2.519079964,0.74,0.26
28,0.414281145,0.473793845,0.523489085,0.473977718,0.520641254,0.57466014,2.278632315,2.403059952,2.513685653,0.73,0.27
29,0.413121421,0.472399315,0.52286996,0.47456574,0.521933059,0.57568692,2.265334806,2.392459829,2.507933519,0.72,0.28
